0,1.64396,0.827789
1,5.24945,0.793788
2,9.95191,0.793788
3,14.9219,0.793788
4,19.9745,0.793788
5,25.3748,0.786506
6,30.0091,0.784778
7,34.9825,0.784354
8,40.121,0.779875
9,45.1965,0.779875
11,54.5002,0.776187
13,63.5973,0.776187
15,72.8684,0.76874
17,82.4214,0.76874
19,91.7966,0.76874
22,104.995,0.76874
25,118.205,0.76874
28,131.293,0.76874
33,145.483,0.76874
39,162.28,0.7682
46,181.297,0.765295
53,199.86,0.765295
61,221.576,0.765295
70,245.422,0.765295
79,269.095,0.765295
88,294.761,0.765295
98,322.224,0.765295
110,354.739,0.764864
123,389.933,0.764864
131,422.531,0.762965
