0,0.0210924,0.96834
1,0.0579202,0.976288
2,0.0969307,0.980844
4,0.162622,0.988757
6,0.23395,0.991208
9,0.338541,0.992965
12,0.459332,0.993723
17,0.656069,0.994544
24,0.912939,0.995103
32,1.25812,0.995755
42,1.72261,0.996323
54,2.32738,0.996752
69,3.12672,0.997295
89,4.18034,0.997383
114,5.58847,0.997406
151,7.45739,0.998011
199,9.98119,0.998243
262,13.315,0.998369
352,17.7568,0.998913
473,23.6743,0.998591
634,31.5731,0.998828
945,42.0943,0.998453
1392,56.1241,0.99856
2169,74.8407,0.99996
3361,99.7848,0.99998
4934,133.02,0.999989
7093,177.319,0.999992
9834,236.388,0.999997
13554,315.119,0.999997
18526,420.002,0.999997
